fibre_type,quantity_of_fibre,application,color_of_fibre,pan_powder,dmf_solvent,additives,heating_time,energy_use,argon_gas,oxidation,sizing,water,drying,strength,flexibility,diameter_accuracy
PAN-based Carbon Fiber,14.22,Aerospace,Gray,3.33,3.05,Silica,148.43,301.05,3.27,2.77,2.15,11.47,7.15,87.49,98.52,86.29
PAN-based Carbon Fiber,33.05,Automotive,Gray,3.93,3.09,None,79.72,363.67,0.87,2.35,3.7,95.3,9.04,92.77,89.89,92.75
Pitch-based Carbon Fiber,199.81,Automotive,Silver,0.93,9.55,Silica,156.22,346.19,4.38,3.54,0.96,153.79,5.62,88.6,96.67,88.65
Pitch-based Carbon Fiber,136.91,Sports Equipment,Black,1.17,2.98,Silica,102.66,326.57,4.31,1.52,4.24,192.05,2.28,89.48,96.86,97.88
Pitch-based Carbon Fiber,69.91,Construction,Gray,3.55,8.14,Silica,69.34,461.8,1.61,4.89,3.39,112.6,6.17,90.4,93.14,90.4
Pitch-based Carbon Fiber,97.5,Aerospace,Black,1.07,8.82,Alumina,131.22,480.73,1.4,3.63,4.48,32.11,1.69,98.01,92.69,93.63
PAN-based Carbon Fiber,98.12,Sports Equipment,Gray,1.87,4.79,Titania,172.85,339.78,3.47,4.8,1.05,92.47,4.23,96.77,96.05,89.66
PAN-based Carbon Fiber,128.47,Sports Equipment,Black,1.74,8.89,Titania,68.8,229.62,2.14,2.02,3.29,57.6,6.51,85.7,94.81,86.43
Pitch-based Carbon Fiber,128.84,Construction,Gray,0.98,5.03,Silica,111.5,491.54,1.2,2.52,2.18,193.04,3.49,88.85,89.15,86.91
PAN-based Carbon Fiber,38.3,Sports Equipment,Gray,0.57,9.43,Alumina,101.2,371.26,4.54,4.86,4.33,47.12,8.78,97.38,98.21,87.67
Pitch-based Carbon Fiber,162.6,Automotive,Black,1.36,9.27,Alumina,49.68,89.55,1.32,2.43,2.58,29.64,9.59,95.52,97.72,93.26
Pitch-based Carbon Fiber,144.61,Sports Equipment,Gray,1.81,2.52,Titania,94.16,400.1,3.73,4.62,4.86,74.01,9.6,90.3,89.18,96.87
PAN-based Carbon Fiber,179.59,Automotive,Silver,4.41,2.5,None,80.18,380.12,4.32,0.98,3.62,111.8,6.56,98.71,91.66,89.83
Rayon-based Carbon Fiber,46.34,Sports Equipment,Black,2.12,6.24,Alumina,128.87,305.27,2.59,4.78,2.07,74.91,1.63,90.88,96.72,89.07
PAN-based Carbon Fiber,14.02,Automotive,Gray,4.02,9.88,None,172.94,310.03,1.66,1.94,4.16,84.12,4.34,93.2,91.16,97.12
PAN-based Carbon Fiber,142.23,Aerospace,Silver,4.9,8.53,Silica,79.49,492.24,3.76,3.67,1.56,56.6,7.58,89.87,89.77,89.37
Rayon-based Carbon Fiber,88.6,Construction,Silver,1.52,2.86,None,118.89,61.23,3.03,1.17,3.86,161.99,6.7,96.59,99.72,97.14
PAN-based Carbon Fiber,184.13,Sports Equipment,Gray,3.05,4.68,Silica,84.86,362.5,3.0,1.32,3.15,167.64,8.64,97.84,96.29,89.47
Pitch-based Carbon Fiber,146.61,Sports Equipment,Gray,1.67,1.84,Silica,33.9,303.81,0.59,3.94,0.43,89.17,5.73,89.56,98.8,89.67
Rayon-based Carbon Fiber,56.02,Automotive,Gray,0.97,4.86,Alumina,55.61,249.63,2.64,0.24,1.63,163.08,1.94,97.92,94.41,86.11
Pitch-based Carbon Fiber,75.74,Aerospace,Black,4.42,9.99,Titania,137.86,148.84,2.33,0.39,4.1,155.51,4.53,91.47,89.0,96.52
Rayon-based Carbon Fiber,187.25,Construction,Silver,3.79,7.9,None,67.95,281.67,4.52,4.12,2.73,192.62,2.44,95.27,95.54,97.86
PAN-based Carbon Fiber,72.98,Automotive,Gray,2.73,4.07,None,139.53,232.88,4.93,0.84,3.22,10.85,5.18,94.93,87.94,94.74
PAN-based Carbon Fiber,155.81,Aerospace,Silver,4.05,6.33,None,118.09,201.67,4.06,3.87,2.95,81.83,3.27,87.58,99.19,87.19
PAN-based Carbon Fiber,131.16,Aerospace,Silver,3.11,5.1,None,71.84,261.06,1.55,1.87,4.3,108.51,8.9,90.87,95.99,93.09
Rayon-based Carbon Fiber,110.22,Aerospace,Black,3.03,9.77,Alumina,43.65,258.61,1.35,3.75,1.12,111.01,0.66,89.91,97.08,99.53
Pitch-based Carbon Fiber,56.85,Aerospace,Gray,4.11,3.4,Alumina,73.15,112.04,1.11,2.55,3.57,178.47,4.26,87.7,99.31,90.16
PAN-based Carbon Fiber,59.92,Aerospace,Gray,1.33,8.44,Silica,167.27,56.3,4.09,1.08,1.85,142.88,8.84,93.65,96.21,99.84
Pitch-based Carbon Fiber,150.26,Construction,Silver,3.63,3.05,Alumina,168.11,290.25,4.81,0.68,1.01,186.11,1.16,96.94,91.03,99.64
PAN-based Carbon Fiber,83.62,Aerospace,Gray,1.78,5.32,Silica,126.0,429.32,1.19,2.08,1.24,36.04,9.56,91.01,91.35,88.18
Pitch-based Carbon Fiber,91.0,Aerospace,Gray,4.53,5.64,Silica,100.13,102.23,0.63,0.63,2.97,37.2,7.7,97.46,89.98,99.5
Pitch-based Carbon Fiber,61.23,Sports Equipment,Gray,4.45,4.59,Titania,138.34,278.68,3.42,3.8,2.11,95.16,2.79,86.94,87.25,98.31
Pitch-based Carbon Fiber,104.28,Sports Equipment,Silver,4.67,8.4,None,31.49,366.01,2.29,1.51,4.43,20.0,7.98,86.08,96.38,85.6
Rayon-based Carbon Fiber,198.4,Construction,Gray,1.72,1.79,Titania,71.34,372.46,3.92,3.11,4.68,179.85,3.26,87.32,93.01,85.02
PAN-based Carbon Fiber,131.97,Sports Equipment,Gray,1.11,7.81,Silica,30.6,273.23,2.18,1.3,1.65,159.08,2.6,98.51,86.27,85.77
PAN-based Carbon Fiber,182.61,Aerospace,Silver,4.95,6.35,Silica,107.22,470.98,0.64,0.75,1.13,68.02,2.73,98.81,92.92,87.1
PAN-based Carbon Fiber,22.96,Construction,Black,3.43,6.03,None,92.75,465.53,1.51,2.55,2.83,187.65,0.75,95.74,91.6,97.3
PAN-based Carbon Fiber,159.01,Aerospace,Gray,4.15,3.95,Alumina,85.93,425.85,1.34,3.39,4.06,154.14,4.35,95.09,85.89,96.48
Rayon-based Carbon Fiber,89.21,Construction,Gray,3.51,4.98,Alumina,111.04,142.32,4.05,1.9,2.61,182.56,1.46,89.29,90.89,96.81
PAN-based Carbon Fiber,55.7,Sports Equipment,Gray,0.66,7.84,Titania,80.56,72.44,4.46,1.16,2.87,152.96,3.68,91.69,88.0,86.17
Pitch-based Carbon Fiber,152.73,Automotive,Silver,1.22,5.61,None,172.28,270.27,4.3,3.72,2.02,101.77,2.73,94.76,99.74,91.63
Pitch-based Carbon Fiber,114.99,Sports Equipment,Black,3.43,6.87,None,146.37,293.97,2.18,0.22,1.11,120.65,9.02,91.69,98.34,98.75
Rayon-based Carbon Fiber,33.82,Sports Equipment,Silver,0.78,5.09,Titania,172.47,355.08,3.19,4.68,2.95,10.82,0.6,97.38,90.06,95.01
PAN-based Carbon Fiber,155.21,Construction,Gray,0.73,9.13,None,56.54,84.01,2.21,3.95,0.72,31.46,4.57,95.69,94.32,99.45
Pitch-based Carbon Fiber,139.17,Sports Equipment,Silver,1.87,8.56,Silica,173.5,257.59,1.46,4.12,2.84,41.45,5.89,97.87,88.13,93.27
Rayon-based Carbon Fiber,108.12,Construction,Silver,2.7,5.12,Titania,108.13,184.35,2.95,3.63,2.98,183.35,8.48,89.9,92.14,94.41
Rayon-based Carbon Fiber,82.32,Construction,Silver,3.72,3.37,Titania,173.97,457.66,1.91,0.29,3.45,91.52,5.22,86.98,88.27,93.7
PAN-based Carbon Fiber,169.55,Automotive,Gray,3.9,9.3,Titania,81.12,442.82,2.64,4.88,4.92,83.98,5.95,86.39,99.0,99.05
PAN-based Carbon Fiber,50.27,Sports Equipment,Black,4.65,7.72,Titania,132.99,314.21,2.56,2.25,1.32,154.1,7.17,98.14,92.82,88.25
Pitch-based Carbon Fiber,88.25,Construction,Black,4.44,7.62,None,53.72,221.64,2.82,4.69,4.69,38.91,1.14,91.12,99.44,99.81
Rayon-based Carbon Fiber,103.65,Aerospace,Silver,4.06,4.52,Alumina,99.76,348.47,3.05,2.35,2.28,35.37,7.42,90.94,93.16,90.01
Rayon-based Carbon Fiber,166.5,Construction,Black,4.95,5.6,Silica,51.75,69.29,2.28,2.53,0.85,82.71,7.09,85.78,92.55,86.28
Rayon-based Carbon Fiber,74.21,Aerospace,Gray,1.8,9.9,None,105.09,250.2,1.02,2.18,4.54,119.14,1.64,85.35,85.77,93.75
PAN-based Carbon Fiber,78.83,Aerospace,Gray,1.34,5.71,Silica,151.25,478.07,1.09,4.14,1.98,19.55,7.11,97.53,97.54,93.69
Rayon-based Carbon Fiber,77.94,Sports Equipment,Gray,1.66,8.5,None,148.24,276.0,2.66,3.17,0.79,83.08,3.1,90.19,91.19,87.74
PAN-based Carbon Fiber,15.62,Sports Equipment,Gray,2.25,9.57,None,119.25,490.92,0.69,4.67,3.81,11.65,1.34,97.56,98.88,96.31
Rayon-based Carbon Fiber,124.96,Construction,Silver,2.98,4.91,Titania,116.56,91.51,0.56,3.57,3.39,13.59,8.74,90.32,87.5,86.42
PAN-based Carbon Fiber,13.39,Aerospace,Black,0.55,8.5,Alumina,101.63,141.01,2.58,0.81,1.63,12.39,3.26,93.12,89.29,85.54
PAN-based Carbon Fiber,172.39,Aerospace,Silver,3.01,1.44,Titania,66.64,265.92,0.5,1.54,2.84,147.64,4.62,90.13,98.46,92.18
Rayon-based Carbon Fiber,184.35,Automotive,Black,1.69,8.05,Titania,39.63,469.89,1.83,4.54,4.11,183.15,1.54,86.93,95.02,90.5
Rayon-based Carbon Fiber,130.89,Automotive,Silver,3.82,8.85,Alumina,135.54,472.64,2.61,2.19,0.18,91.85,4.73,98.34,95.24,89.04
Pitch-based Carbon Fiber,51.9,Aerospace,Gray,4.46,4.81,Alumina,148.33,225.94,4.02,2.62,3.06,126.89,0.56,86.58,97.6,99.26
PAN-based Carbon Fiber,194.87,Sports Equipment,Silver,3.69,4.13,Titania,56.17,481.9,1.81,0.92,3.6,35.33,4.74,91.84,94.48,90.81
